State,Year,Quarter,Revenue
Maine,2021,Q4,39900000.0
Maine,2022,CY,165100000.0
Maine,2022,Q1,38800000.0
Maine,2022,Q2,42500000.0
Maine,2022,Q3,45200000.0
Maine,2022,Q4,38700000.0
Maine,2023,CY,175100000.0
Maine,2023,Q1,40100000.0
Maine,2023,Q2,42900000.0
Maine,2023,Q3,43900000.0
Maine,2023,Q4,48200000.0
Maine,2024,Q1,52900000.0
Maine,2024,Q2,51700000.0
Maine,2024,Q3,58700000.0
Maryland,2019,Q3,445810000.0
Maryland,2020,CY,
Maryland,2020,Q2,34900000.0
Maryland,2020,Q3,433200000.0
Maryland,2020,Q4,392400000.0
Maryland,2021,CY,1925600000.0
Maryland,2021,Q1,424200000.0
Maryland,2021,Q2,496000000.0
Maryland,2021,Q3,514000000.0
Maryland,2021,Q4,491400000.0
Maryland,2022,CY,2200600000.0
Maryland,2022,Q1,496500000.0
Maryland,2022,Q2,519500000.0
Maryland,2022,Q3,522000000.0
Maryland,2022,Q4,662600000.0
Maryland,2023,CY,2496800000.0
Maryland,2023,Q1,548200000.0
Maryland,2023,Q2,613500000.0
Maryland,2023,Q3,589400000.0
Maryland,2023,Q4,645800000.0
Maryland,2024,Q1,559200000.0
Maryland,2024,Q2,564000000.0
Maryland,2024,Q3,638600000.0
Massachusetts,2019,Q3,247800000.0
Massachusetts,2020,CY,551900000.0
Massachusetts,2020,Q2,
Massachusetts,2020,Q3,187000000.0
Massachusetts,2020,Q4,164000000.0
Massachusetts,2021,CY,1020800000.0
Massachusetts,2021,Q1,209000000.0
Massachusetts,2021,Q2,255400000.0
Massachusetts,2021,Q3,276900000.0
Massachusetts,2021,Q4,279500000.0
Massachusetts,2022,CY,1131900000.0
Massachusetts,2022,Q1,270100000.0
Massachusetts,2022,Q2,283300000.0
Massachusetts,2022,Q3,285100000.0
Massachusetts,2022,Q4,293400000.0
Massachusetts,2023,CY,1667700000.0
Massachusetts,2023,Q1,349200000.0
Massachusetts,2023,Q2,455700000.0
Massachusetts,2023,Q3,391600000.0
Massachusetts,2023,Q4,467700000.0
Massachusetts,2024,Q1,479600000.0
Massachusetts,2024,Q2,443400000.0
Massachusetts,2024,Q3,446900000.0
Michigan,2019,Q3,351190000.0
Michigan,2020,CY,638700000.0
Michigan,2020,Q2,
Michigan,2020,Q3,163600000.0
Michigan,2020,Q4,175700000.0
Michigan,2021,CY,2700300000.0
Michigan,2021,Q1,525200000.0
Michigan,2021,Q2,670500000.0
Michigan,2021,Q3,692100000.0
Michigan,2021,Q4,542200000.0
Michigan,2022,CY,3258100000.0
Michigan,2022,Q1,781900000.0
Michigan,2022,Q2,787000000.0
Michigan,2022,Q3,796500000.0
Michigan,2022,Q4,892600000.0
Michigan,2023,CY,3581100000.0
Michigan,2023,Q1,902800000.0
Michigan,2023,Q2,887500000.0
Michigan,2023,Q3,875600000.0
Michigan,2023,Q4,935200000.0
Michigan,2024,Q1,1028100000.0
Michigan,2024,Q2,1016500000.0
Michigan,2024,Q3,1026300000.0
Mississippi,2019,Q3,540230000.0
Mississippi,2020,CY,
Mississippi,2020,Q2,238600000.0
Mississippi,2020,Q3,555600000.0
Mississippi,2020,Q4,534200000.0
Mississippi,2021,CY,2669200000.0
Mississippi,2021,Q1,615600000.0
Mississippi,2021,Q2,753400000.0
